episode,reward,total_steps
0,30.99939274787903,31
1,13.99771511554718,45
2,32.98354887962341,78
3,15.938525795936584,94
4,23.011165261268616,117
5,27.995588779449463,145
6,11.017913103103638,156
7,37.11018896102905,193
8,10.008947134017944,203
9,16.958679676055908,220
10,14.99785590171814,235
11,13.993809223175049,249
12,9.987778186798096,259
13,11.976334810256958,271
14,13.000922799110413,284
15,9.991329193115234,294
16,8.967482805252075,303
17,14.004653573036194,317
18,9.016141176223755,326
19,9.968562126159668,336
20,11.030535459518433,347
21,11.974478363990784,359
22,14.982715368270874,374
23,18.995976209640503,393
24,12.98400366306305,406
25,8.985718607902527,415
26,11.957013010978699,427
27,14.982986688613892,442
28,8.003846287727356,450
29,8.997212529182434,459
30,23.001879930496216,482
31,7.969464421272278,490
32,10.975296139717102,501
33,9.996167302131653,511
34,13.002431154251099,524
35,9.960029363632202,534
36,19.93263804912567,554
37,9.995728373527527,564
38,30.988303542137146,595
39,8.017977118492126,603
40,28.9938303232193,632
41,9.016273260116577,641
42,13.92669403553009,655
43,20.031314253807068,675
44,9.943143486976624,685
45,24.965242385864258,710
46,40.02530026435852,750
47,60.72018313407898,811
48,51.02684462070465,862
49,28.98909020423889,891
50,54.03564941883087,945
51,25.926183581352234,971
52,87.98724913597107,1059
53,151.79063868522644,1211
54,38.91692781448364,1250
55,196.01456499099731,1446
56,56.96760022640228,1503
57,60.89912497997284,1564
58,114.99184191226959,1679
59,41.998517990112305,1721
60,42.97055375576019,1764
61,200.00274515151978,1964
62,73.0182535648346,2037
63,85.91313993930817,2123
64,119.6280163526535,2242
65,199.9271605014801,2442
66,194.8825032711029,2637
67,199.6236447095871,2837
68,199.44532120227814,3037
69,199.59849536418915,3237
70,199.4183887243271,3437
71,199.37208366394043,3637
72,199.83199787139893,3837
73,199.8157286643982,4037
74,199.56681418418884,4237
75,199.80161273479462,4437
76,199.4459651708603,4637
77,199.629065990448,4837
78,199.53555810451508,5037
79,199.43964064121246,5237
80,199.8033971786499,5437
81,199.9103021621704,5637
82,199.7940719127655,5837
83,200.14841067790985,6037
84,199.9851038455963,6237
85,199.8239105939865,6437
86,199.89012598991394,6637
87,199.93381369113922,6837
88,199.83979630470276,7037
89,199.85323178768158,7237
90,199.87601613998413,7437
91,200.57915115356445,7637
92,200.16999781131744,7837
93,201.50621032714844,8037
94,201.6921855211258,8237
95,200.5401001572609,8437
96,200.7741540670395,8637
97,202.6911129951477,8837
98,202.2149796485901,9037
99,207.88759124279022,9237
100,205.4012553691864,9437
101,213.32312154769897,9637
102,215.5951532125473,9837
103,226.34360122680664,10037
104,231.3549838066101,10237
105,223.29723131656647,10437
106,228.9370847940445,10637
107,148.0670657157898,10759
108,67.06722676753998,10823
109,45.2878292798996,10868
110,38.13851487636566,10906
111,56.102545499801636,10962
112,35.01227903366089,10997
113,34.08662211894989,11031
114,43.83632481098175,11075
115,104.87065029144287,11180
116,47.95829224586487,11228
117,36.04982149600983,11264
118,53.1585476398468,11317
119,38.84604835510254,11356
120,86.82801520824432,11443
121,65.36253654956818,11508
122,63.73110568523407,11571
123,61.47861611843109,11632
124,78.72840404510498,11709
125,58.81877660751343,11767
126,139.7134383916855,11899
127,51.08743178844452,11950
128,107.8732922077179,12051
129,52.09500312805176,12103
130,38.0373569726944,12141
131,136.81979298591614,12274
132,131.55153119564056,12402
133,143.6313214302063,12537
134,230.63950324058533,12737
135,228.2030909061432,12937
