episode,reward,total_steps
359,196.0,91233
360,198.0,91431
361,224.0,91655
362,225.0,91880
363,195.0,92075
364,207.0,92282
365,207.0,92489
366,190.0,92679
367,205.0,92884
368,220.0,93104
369,220.0,93324
370,209.0,93533
371,202.0,93735
372,211.0,93946
373,204.0,94150
374,195.0,94345
375,197.0,94542
376,202.0,94744
377,197.0,94941
378,205.0,95146
379,205.0,95351
380,208.0,95559
381,207.0,95766
382,206.0,95972
383,218.0,96190
384,219.0,96409
385,219.0,96628
386,200.0,96828
387,219.0,97047
388,211.0,97258
389,213.0,97471
390,209.0,97680
391,213.0,97893
392,202.0,98095
393,203.0,98298
394,198.0,98496
395,201.0,98697
396,196.0,98893
397,200.0,99093
398,197.0,99290
399,191.0,99481
400,201.0,99682
401,206.0,99888
402,198.0,100086
403,197.0,100283
404,189.0,100472
405,192.0,100664
406,196.0,100860
407,188.0,101048
408,201.0,101249
409,203.0,101452
410,207.0,101659
411,202.0,101861
412,201.0,102062
413,190.0,102252
414,193.0,102445
415,196.0,102641
416,190.0,102831
417,201.0,103032
418,198.0,103230
419,193.0,103423
420,188.0,103611
421,185.0,103796
422,207.0,104003
423,196.0,104199
424,194.0,104393
425,191.0,104584
426,191.0,104775
427,208.0,104983
428,199.0,105182
429,203.0,105385
430,206.0,105591
431,183.0,105774
432,187.0,105961
433,187.0,106148
434,183.0,106331
435,196.0,106527
436,189.0,106716
437,193.0,106909
438,187.0,107096
439,195.0,107291
440,190.0,107481
441,41.0,107522
442,194.0,107716
443,189.0,107905
444,190.0,108095
445,198.0,108293
446,192.0,108485
447,193.0,108678
448,185.0,108863
449,200.0,109063
450,200.0,109263
451,190.0,109453
452,204.0,109657
453,207.0,109864
454,199.0,110063
455,213.0,110276
456,197.0,110473
457,195.0,110668
458,199.0,110867
459,192.0,111059
460,200.0,111259
461,194.0,111453
462,191.0,111644
463,199.0,111843
464,188.0,112031
465,191.0,112222
466,192.0,112414
467,194.0,112608
468,194.0,112802
469,187.0,112989
470,194.0,113183
471,209.0,113392
472,212.0,113604
473,209.0,113813
474,202.0,114015
475,213.0,114228
476,213.0,114441
477,11.0,114452
478,84.0,114536
479,11.0,114547
480,186.0,114733
481,230.0,114963
482,224.0,115187
483,234.0,115421
484,244.0,115665
485,238.0,115903
486,230.0,116133
487,237.0,116370
488,220.0,116590
489,224.0,116814
490,234.0,117048
491,231.0,117279
492,239.0,117518
493,224.0,117742
494,226.0,117968
495,235.0,118203
496,237.0,118440
497,237.0,118677
498,236.0,118913
499,236.0,119149
