epoch,train_loss,val_loss,val_state_mse,val_reward_mse
1,0.019087285002426256,0.0005544973537325859,0.00027361803222447634,0.0028087934479117393
2,0.0002781292604227789,0.00020331706036813557,0.00012368090392556041,0.0007963616517372429
3,0.00013747945543684083,0.00012055125262122601,7.446979725500569e-05,0.00046081451000645757
4,9.437642835932802e-05,0.00010075370664708316,7.218411337817088e-05,0.00028569588903337717
5,7.384590492648106e-05,7.034689770080149e-05,4.8566656914772466e-05,0.00021780244424007833
6,5.80906892882825e-05,6.959489837754518e-05,5.191849049879238e-05,0.0001767640351317823
7,4.724226079483569e-05,5.4204007028602064e-05,4.308195275370963e-05,0.00011122055730083957
8,4.117039576304371e-05,0.0001001764030661434,8.789575076662004e-05,0.000122806552099064
9,5.274207953091843e-05,7.955663022585213e-05,7.15958303771913e-05,7.960803486639634e-05
10,3.9456596134400466e-05,5.371295992517844e-05,4.652610732591711e-05,7.186851144069806e-05
11,3.307719123407316e-05,6.001505607855506e-05,4.963316678185947e-05,0.00010381890024291351
12,3.442795225212098e-05,5.787674308521673e-05,5.194399273023009e-05,5.9327521739760414e-05
13,3.14723318068514e-05,6.642738298978657e-05,5.974858868285082e-05,6.678794306935742e-05
14,3.0758417183087256e-05,2.588215829746332e-05,2.162575583497528e-05,4.256401734892279e-05
15,2.2124011651909686e-05,2.5686838853289373e-05,2.1660047423210926e-05,4.0267917938763276e-05
16,2.0201292519522766e-05,6.096774450270459e-05,5.6192147894762456e-05,4.775598426931538e-05
17,4.3273035366711374e-05,0.00017455908528063446,0.00016943772789090872,5.1213639380875975e-05
18,6.615075418638143e-05,5.2434807003010064e-05,4.169574458501302e-05,0.00010739063145592809
19,2.5264947707245045e-05,2.8796579499612562e-05,2.5366232875967398e-05,3.4303458960494027e-05
20,1.614820272602746e-05,4.344808621681295e-05,4.0837327105691656e-05,2.610758201626595e-05
