episode,reward,total_steps
0,10.988669753074646,11
1,11.974756717681885,23
2,12.016159176826477,35
3,18.949104368686676,54
4,17.019178807735443,71
5,14.000821053981781,85
6,14.013527631759644,99
7,11.98963874578476,111
8,34.90141725540161,146
9,12.995005071163177,159
10,10.02074146270752,169
11,15.98542869091034,185
12,9.969466090202332,195
13,14.970944941043854,210
14,15.020227611064911,225
15,10.001840829849243,235
16,13.000347971916199,248
17,10.04474276304245,258
18,10.009887933731079,268
19,39.069296002388,307
20,14.97335398197174,322
21,11.99295824766159,334
22,67.31312221288681,401
23,11.01192420721054,412
24,8.986184239387512,421
25,11.99918407201767,433
26,10.999951243400574,444
27,12.001687228679657,456
28,40.930093228816986,497
29,10.022431373596191,507
30,16.98935353755951,524
31,10.016367614269257,534
32,20.012218594551086,554
33,36.1872324347496,590
34,19.995831727981567,610
35,10.021459996700287,620
36,11.97274911403656,632
37,33.185837507247925,665
38,11.006453156471252,676
39,20.997896194458008,697
40,20.02130275964737,717
41,10.006476104259491,727
42,39.834908962249756,767
43,102.39084607362747,869
44,109.79502207040787,976
45,93.92688274383545,1070
46,124.59582263231277,1195
47,104.16684609651566,1299
48,122.22814911603928,1419
49,11.980794250965118,1431
50,111.07117199897766,1541
51,101.73021560907364,1642
52,168.23856484889984,1810
53,198.0624760389328,2006
54,162.20610570907593,2166
55,201.73310726881027,2366
56,196.82110327482224,2560
57,200.50326228141785,2760
58,165.43903905153275,2920
59,145.49156790971756,3064
60,202.5443159341812,3264
61,137.44888716936111,3401
62,186.6182760000229,3588
63,146.30743104219437,3734
64,151.60033297538757,3885
65,184.35080802440643,4067
66,174.5454604625702,4239
67,200.2375118136406,4432
68,122.24386101961136,4555
69,137.99526661634445,4694
70,199.86229991912842,4894
71,156.7751196026802,5048
72,163.84182250499725,5210
73,175.67635291814804,5386
74,204.72945392131805,5586
75,201.54130589962006,5786
76,200.28696525096893,5982
77,141.17219024896622,6124
78,200.29533833265305,6324
79,180.75807797908783,6498
80,114.47049659490585,6613
81,153.94765549898148,6767
82,143.87523370981216,6911
83,197.68733268976212,7111
84,203.19997251033783,7311
85,198.41216784715652,7511
86,200.01920211315155,7711
87,200.15662533044815,7911
88,198.6808112859726,8111
89,199.39712607860565,8311
90,203.12893557548523,8511
91,198.15745627880096,8711
92,190.3497532606125,8896
93,190.6521299481392,9081
94,169.39416897296906,9244
95,204.0921721458435,9444
96,203.70572972297668,9644
97,175.85085648298264,9811
98,174.0618570446968,9980
99,199.5097405910492,10180
100,206.6438803076744,10377
101,171.6740202307701,10542
102,171.6572630405426,10709
103,205.52929651737213,10909
104,162.68057823181152,11067
105,203.7952058315277,11267
106,180.04996919631958,11443
107,159.00116914510727,11597
108,160.8387215733528,11753
109,149.0784301161766,11903
110,181.79783099889755,12080
111,158.21197468042374,12233
