epoch,train_loss,val_loss,val_state_mse,val_reward_mse
1,0.018217412361502077,0.00040323883877135813,0.0002615300181787461,0.0014170882059261203
2,0.00023430163584206687,0.00015706365229561925,0.00011553301737876609,0.00041530633461661637
3,0.00012560575628732914,9.164249786408618e-05,6.737942021572962e-05,0.0002426307473797351
4,7.833544337916948e-05,6.82491809129715e-05,5.151302320882678e-05,0.00016736153338570148
5,5.996671645184381e-05,5.360703289625235e-05,4.046054164064117e-05,0.00013146489800419658
6,4.70373243072486e-05,4.5337634219322354e-05,3.5063007089775056e-05,0.00010274627129547298
7,4.038305814345566e-05,3.6718025512527674e-05,2.7158377633895725e-05,9.559646423440427e-05
8,3.685243929505266e-05,3.8715639675501734e-05,3.033905159099959e-05,8.376587356906384e-05
9,3.3531808760951684e-05,2.9431699658744037e-05,2.21831814997131e-05,7.248517067637295e-05
10,3.097272055815985e-05,3.003422352776397e-05,2.339658203709405e-05,6.63764076307416e-05
11,2.916961935397226e-05,5.079803668195382e-05,4.498039197642356e-05,5.817644705530256e-05
12,2.7780071097968677e-05,2.5648130758781917e-05,2.061550367216114e-05,5.032626722822897e-05
13,2.4684033421712317e-05,2.4436565581709146e-05,1.9324803361087106e-05,5.111761493026279e-05
14,2.3906198902954902e-05,2.2880225515109487e-05,1.794813033484388e-05,4.932094816467725e-05
15,2.1732407411325804e-05,2.3145403247326612e-05,1.870949381554965e-05,4.435908340383321e-05
16,2.7461749943779975e-05,2.693217174964957e-05,2.2405673007597215e-05,4.526498742052354e-05
17,2.0685617041482877e-05,2.505352495063562e-05,2.0710480384877883e-05,4.343044929555617e-05
18,2.150652976844578e-05,8.502475975546986e-05,8.13650040072389e-05,3.659758294816129e-05
19,7.75360220898867e-05,4.2328316339990124e-05,3.69448825949803e-05,5.383433017414063e-05
20,4.7961336997594324e-05,4.439789699972607e-05,4.081102815689519e-05,3.58686811523512e-05
