epoch,train_loss,val_loss,val_state_mse,val_reward_mse
1,0.01810918544623223,0.00035947575815953314,0.0002555061655584723,0.0010396958095952868
2,0.00024359313806141612,0.00014261210162658244,0.0001091759477276355,0.0003343615389894694
3,0.00011371647524563472,7.779963925713673e-05,5.6738244893494993e-05,0.0002106139436364174
4,7.753178554437294e-05,6.218407361302525e-05,4.705432365881279e-05,0.0001512974704382941
5,6.216697044469781e-05,4.7419271140825e-05,3.53983195964247e-05,0.00012020952271996066
6,4.938376096969265e-05,5.306501407176256e-05,4.27174600190483e-05,0.00010347554052714258
7,4.220734464230619e-05,3.9727477997075766e-05,2.8524982553790323e-05,0.00011202495079487562
8,3.6630986926174126e-05,4.0792157960822806e-05,3.1676645448897034e-05,9.115513239521533e-05
9,3.7109123580071605e-05,2.794014108076226e-05,2.1008881958550774e-05,6.931258394615725e-05
10,3.110267617286888e-05,3.13586242555175e-05,2.2319714844343252e-05,9.038909047376364e-05
11,2.974746825361374e-05,3.9143858884926885e-05,3.308322993689217e-05,6.0606278566410765e-05
12,2.9596710487092586e-05,2.9439561330946162e-05,2.3066440917318687e-05,6.373121141223237e-05
13,2.6474450858472448e-05,3.655312684713863e-05,3.16226614813786e-05,4.930465729557909e-05
14,3.3095066722918065e-05,2.4128032237058505e-05,1.94259609997971e-05,4.702071237261407e-05
15,3.2665932643970834e-05,4.57430214737542e-05,4.110002555535175e-05,4.6429944632109255e-05
16,2.7266276124266172e-05,3.065343844355084e-05,2.5765890313778073e-05,4.887547038379125e-05
17,3.663623173878196e-05,5.361719740903936e-05,4.921959771309048e-05,4.397598240757361e-05
18,3.356499087022493e-05,1.979047192435246e-05,1.591072759765666e-05,3.8797446904936805e-05
19,2.483193532392989e-05,2.2030644686310552e-05,1.7876360288937576e-05,4.1542847611708567e-05
20,1.9598803783514435e-05,2.1409743567346595e-05,1.7549891708767973e-05,3.8598518585786223e-05
