episode,reward,total_steps
0,14.01122921705246,14
1,23.028522610664368,37
2,24.978790938854218,62
3,52.982105910778046,115
4,25.996465623378754,141
5,18.016452491283417,159
6,10.998584628105164,170
7,12.012112021446228,182
8,10.997324585914612,193
9,9.001913070678711,202
10,11.016939759254456,213
11,12.008773505687714,225
12,12.014069020748138,237
13,10.015770494937897,247
14,11.007499933242798,258
15,11.045144617557526,269
16,10.027991771697998,279
17,11.021051228046417,290
18,10.002818822860718,300
19,11.01932543516159,311
20,13.018159031867981,324
21,10.033722221851349,334
22,12.006459653377533,346
23,22.988939225673676,369
24,41.40498894453049,410
25,16.007814586162567,426
26,10.008891582489014,436
27,10.9990713596344,447
28,11.992670118808746,459
29,27.982321441173553,487
30,11.017847120761871,498
31,9.009141504764557,507
32,14.015474915504456,521
33,15.017814338207245,536
34,22.021092474460602,558
35,24.048705399036407,582
36,25.06923657655716,607
37,32.02640783786774,639
38,10.995515167713165,650
39,10.021996140480042,660
40,38.30319392681122,698
41,16.967680037021637,715
42,9.999235689640045,725
43,66.05650770664215,791
44,32.95722061395645,824
45,29.988593101501465,854
46,21.95951372385025,876
47,23.96599781513214,900
48,9.968312859535217,910
49,26.988364279270172,937
50,19.011526942253113,956
51,11.935934960842133,968
52,61.02899211645126,1029
53,61.12734693288803,1090
54,74.18578684329987,1164
55,49.853101551532745,1214
56,65.97785317897797,1280
57,87.95655083656311,1368
58,52.91181844472885,1421
59,89.66278600692749,1511
60,99.7582477927208,1611
61,127.5068628191948,1739
62,213.73235154151917,1939
63,199.6483138203621,2139
64,103.47356486320496,2243
65,132.08460807800293,2371
66,178.2958105802536,2543
67,207.642254114151,2735
68,172.2781154513359,2891
69,202.50722432136536,3088
70,195.196830868721,3267
71,123.74353331327438,3388
72,105.05200499296188,3492
73,148.74331426620483,3634
74,149.81672370433807,3779
75,203.13453441858292,3967
76,185.62465393543243,4144
77,198.7209391593933,4327
78,214.28687542676926,4526
79,146.77488672733307,4657
80,129.16897976398468,4781
81,185.70845729112625,4951
82,187.55501568317413,5124
83,168.62975615262985,5276
84,140.1310751438141,5405
85,149.82249611616135,5546
86,160.5110377073288,5691
87,149.29955857992172,5824
88,163.87221312522888,5973
89,179.35103529691696,6137
90,213.50114756822586,6334
91,210.14799070358276,6528
92,187.61923211812973,6700
93,178.4505370259285,6862
94,144.6822584271431,6990
95,136.39922320842743,7122
96,112.40013366937637,7226
97,141.83764898777008,7352
98,142.92450881004333,7491
99,133.6751669049263,7609
100,170.6661930680275,7764
101,213.43389308452606,7964
102,146.78365576267242,8095
103,167.54108673334122,8247
104,172.47378146648407,8404
105,171.1858628988266,8560
106,119.30949354171753,8671
107,182.71909630298615,8838
108,164.72674292325974,8987
109,167.18828159570694,9138
110,167.1720790863037,9289
111,199.6692607998848,9489
112,179.09699207544327,9652
