episode,reward,total_steps
0,12.060733437538147,12
1,32.06934189796448,44
2,11.074165284633636,55
3,20.016926109790802,75
4,27.03457123041153,102
5,46.21056240797043,148
6,12.037627458572388,160
7,21.046765446662903,181
8,18.05542242527008,199
9,12.923636376857758,212
10,10.065730690956116,222
11,16.080530405044556,238
12,15.067637622356415,253
13,11.060950458049774,264
14,12.050840973854065,276
15,37.005695819854736,313
16,18.0640931725502,331
17,10.06401127576828,341
18,19.115180253982544,360
19,13.042993724346161,373
20,23.163781106472015,396
21,10.064576625823975,406
22,10.036014795303345,416
23,20.01492190361023,436
24,11.034347236156464,447
25,25.187995851039886,472
26,11.037751734256744,483
27,19.24434769153595,502
28,11.041493475437164,513
29,11.11195558309555,524
30,12.05286318063736,536
31,10.085299134254456,546
32,27.371616065502167,573
33,9.02810138463974,582
34,10.048680245876312,592
35,9.031670808792114,601
36,16.05623334646225,617
37,10.041203260421753,627
38,16.096201539039612,643
39,16.098468720912933,659
40,10.042968153953552,669
41,9.035973846912384,678
42,33.64912664890289,711
43,10.039595365524292,721
44,17.11139464378357,738
45,11.058922469615936,749
46,10.038510799407959,759
47,11.031189262866974,770
48,18.052521646022797,788
49,15.129501461982727,803
50,9.045536696910858,812
51,11.038494229316711,823
52,70.14802259206772,893
53,28.788548409938812,922
54,32.46648347377777,954
55,40.11667215824127,994
56,26.19096738100052,1020
57,23.023489594459534,1043
58,26.256617724895477,1069
59,18.921215415000916,1088
60,25.059805810451508,1113
61,12.046052634716034,1125
62,49.72974240779877,1175
63,111.7830051779747,1286
64,111.71250873804092,1398
65,65.28911685943604,1463
66,80.76364040374756,1543
67,78.61500018835068,1621
68,115.81372624635696,1737
69,73.24795949459076,1810
70,66.39032030105591,1876
71,77.76300066709518,1954
72,112.08613282442093,2065
73,92.77646708488464,2157
74,65.69968342781067,2222
75,74.56530892848969,2296
76,61.46235716342926,2357
77,72.81694656610489,2429
78,106.00543546676636,2534
79,93.69216591119766,2627
80,91.52050751447678,2718
81,159.35920196771622,2878
82,109.89346617460251,2987
83,125.99615496397018,3112
84,114.76469230651855,3225
85,116.11900889873505,3340
86,98.85854315757751,3438
87,105.23383122682571,3542
88,112.34999078512192,3653
89,124.79604530334473,3776
90,115.03835010528564,3890
91,193.5228991508484,4082
92,200.15942472219467,4282
93,200.218068420887,4482
94,155.7354113459587,4636
95,193.2657944560051,4827
96,197.5945998430252,5018
97,170.9366056919098,5182
98,139.97488075494766,5315
99,101.08768969774246,5415
100,202.75078737735748,5611
101,205.35389149188995,5811
102,183.31328362226486,5991
103,67.00594937801361,6058
104,89.81232178211212,6146
105,102.92997360229492,6247
106,99.41524863243103,6343
107,112.12543910741806,6452
108,121.23762369155884,6570
109,111.35792911052704,6674
110,141.55720436573029,6808
111,124.66094446182251,6926
112,119.70462882518768,7037
113,107.65313988924026,7137
114,112.3160400390625,7241
115,103.46057069301605,7335
116,104.32834762334824,7431
117,133.77170675992966,7555
118,115.1796088218689,7660
119,128.84178107976913,7780
120,111.90346646308899,7884
121,105.9258074760437,7982
122,111.35549193620682,8085
123,106.70030492544174,8183
124,96.4111447930336,8271
125,103.83470851182938,8366
126,108.7382361292839,8466
127,111.67290556430817,8569
128,103.93909114599228,8664
129,99.58020961284637,8755
130,103.2461012005806,8849
131,111.7912106513977,8952
132,102.51129883527756,9047
133,108.21779322624207,9147
134,121.5384726524353,9260
135,117.31747251749039,9368
136,117.4167132973671,9477
137,109.3367999792099,9578
138,113.62074440717697,9682
139,114.31870293617249,9788
140,118.05957293510437,9898
141,109.62981015443802,9999
142,110.47264385223389,10101
143,113.31845527887344,10206
144,115.07909172773361,10313
145,117.6659232378006,10422
146,117.72969651222229,10531
147,113.52701669931412,10636
148,114.29777455329895,10742
149,112.31898754835129,10846
150,117.91749227046967,10956
151,105.39123272895813,11053
152,117.01677602529526,11161
153,107.73199725151062,11260
154,108.27903735637665,11360
155,108.69234204292297,11460
156,114.21496152877808,11566
157,115.919797539711,11673
158,111.44489520788193,11776
159,108.16063690185547,11875
160,112.93929129838943,11979
161,102.42278951406479,12073
162,101.77949547767639,12166
163,117.71366858482361,12275
164,111.59185564517975,12378
165,110.73584222793579,12480
166,120.59699243307114,12592
167,103.81511902809143,12687
168,103.09404128789902,12781
169,107.76781040430069,12880
170,111.32786786556244,12982
171,118.30710756778717,13092
172,110.59795039892197,13194
173,112.4358342885971,13298
174,116.30609345436096,13405
175,109.8952288031578,13506
176,113.21071553230286,13610
177,110.87430346012115,13712
178,107.42884439229965,13811
179,111.65024137496948,13914
180,110.85034501552582,14016
181,116.86156272888184,14124
182,106.73848366737366,14222
183,111.66482210159302,14325
184,183.20075476169586,14500
185,107.35831367969513,14599
186,105.30510812997818,14696
187,103.66479974985123,14791
188,103.81995141506195,14886
189,107.15953797101974,14984
190,112.62452363967896,15088
191,106.17794036865234,15185
192,109.17923414707184,15285
193,103.04166448116302,15379
194,112.18391418457031,15482
195,103.73347645998001,15577
196,98.81948804855347,15667
197,109.41424375772476,15767
198,100.84898310899734,15859
199,106.25464355945587,15956
200,109.21209400892258,16056
201,104.98205465078354,16152
