episode,reward,total_steps
360,18.0,41895
361,26.0,41921
362,21.0,41942
363,35.0,41977
364,29.0,42006
365,9.0,42015
366,47.0,42062
367,12.0,42074
368,26.0,42100
369,9.0,42109
370,9.0,42118
371,24.0,42142
372,30.0,42172
373,18.0,42190
374,175.0,42365
375,174.0,42539
376,153.0,42692
377,152.0,42844
378,151.0,42995
379,150.0,43145
380,161.0,43306
381,159.0,43465
382,153.0,43618
383,150.0,43768
384,177.0,43945
385,166.0,44111
386,158.0,44269
387,142.0,44411
388,135.0,44546
389,155.0,44701
390,159.0,44860
391,137.0,44997
392,148.0,45145
393,159.0,45304
394,156.0,45460
395,153.0,45613
396,176.0,45789
397,156.0,45945
398,160.0,46105
399,159.0,46264
400,130.0,46394
401,178.0,46572
402,308.0,46880
403,231.0,47111
404,189.0,47300
405,210.0,47510
406,201.0,47711
407,226.0,47937
408,224.0,48161
409,201.0,48362
410,188.0,48550
411,185.0,48735
412,206.0,48941
413,165.0,49106
414,168.0,49274
415,174.0,49448
416,169.0,49617
417,316.0,49933
418,228.0,50161
419,192.0,50353
420,181.0,50534
421,167.0,50701
422,177.0,50878
423,216.0,51094
424,191.0,51285
425,184.0,51469
426,184.0,51653
427,168.0,51821
428,189.0,52010
429,182.0,52192
430,183.0,52375
431,183.0,52558
432,183.0,52741
433,169.0,52910
434,214.0,53124
435,158.0,53282
436,186.0,53468
437,172.0,53640
438,148.0,53788
439,179.0,53967
440,168.0,54135
441,152.0,54287
442,166.0,54453
443,128.0,54581
444,165.0,54746
445,153.0,54899
446,138.0,55037
447,146.0,55183
448,137.0,55320
449,166.0,55486
450,135.0,55621
451,126.0,55747
452,138.0,55885
453,134.0,56019
454,148.0,56167
455,138.0,56305
456,136.0,56441
457,120.0,56561
458,148.0,56709
459,137.0,56846
460,148.0,56994
461,127.0,57121
462,138.0,57259
463,125.0,57384
464,136.0,57520
465,142.0,57662
466,156.0,57818
467,135.0,57953
468,123.0,58076
469,135.0,58211
470,124.0,58335
471,134.0,58469
472,140.0,58609
473,139.0,58748
474,131.0,58879
475,141.0,59020
476,147.0,59167
477,141.0,59308
478,138.0,59446
479,129.0,59575
480,133.0,59708
481,144.0,59852
482,140.0,59992
483,144.0,60136
484,132.0,60268
485,140.0,60408
486,148.0,60556
487,136.0,60692
488,150.0,60842
489,136.0,60978
490,126.0,61104
491,136.0,61240
492,128.0,61368
493,137.0,61505
494,125.0,61630
495,133.0,61763
496,129.0,61892
497,133.0,62025
498,132.0,62157
499,144.0,62301
